idautor,nomautor,paisautor,fecnacautor,emailautor,idiomaaoutor
1,Éric Vuillard,Francia,1973-12-13,leahlawrence@email.com,Francés
2,Adania Shibli,Palestina,1952-06-29,gregorynatalie@email.com,Árabe
3,Ahmed Saadawi,Irak,1948-07-22,michelle14@email.com,Árabe
4,Alia Trabucco Zerán,Chile,1979-07-25,nancy22@email.com,Español
5,Amanda Svensson,Suecia,1958-06-28,bryansimmons@email.com,Sueco
6,Andrey Kurkov,Ucrania,1951-02-26,handerson@email.com,Ruso / Ucraniano
7,Andrzej Tichý,Suecia,1949-05-27,boltonemily@email.com,Sueco
8,Annie Ernaux,Francia,1966-05-12,avilarita@email.com,Francés
9,Antonio Muñoz Molina,España,1956-12-05,nathanielnelson@email.com,Español
10,Ariana Harwicz,Argentina,1955-05-18,sonyawilkerson@email.com,Español
11,Benjamín Labatut,Chile,1945-02-08,william63@email.com,Español
12,Bora Chung,Corea del Sur,1963-03-11,john62@email.com,Coreano
13,Can Xue,China,1973-02-07,vgraham@email.com,Chino
14,Cheon Myeong-Kwan,Corea del Sur,1978-03-01,athornton@email.com,Coreano
15,Christoph Ransmayr,Austria,1963-08-28,brandonreid@email.com,Alemán
16,Claudia Piñeiro,Argentina,1957-12-07,heathersmith@email.com,Español
17,Clemens Meyer,Alemania,1983-05-14,robinclark@email.com,Alemán
18,Daniel Kehlmann,Alemania / Austria,1948-05-11,kmaldonado@email.com,Alemán
19,David Diop,Francia / Senegal,1985-08-11,irwinalexandra@email.com,Francés
20,David Grossman,Israel,1974-08-06,sarah76@email.com,Hebreo
21,Emmanuelle Pagano,Francia,1953-02-10,calebsutton@email.com,Francés
22,Enrique Vila-Matas,España,1994-07-25,brandongoodwin@email.com,Español
23,Eva Baltasar,España,1945-10-18,donald03@email.com,Español
24,Fernanda Melchor,México,1945-02-17,grantbautista@email.com,Español
25,Gabriela Cabezón Cámara,Argentina,1976-01-09,tmoore@email.com,Español
26,Gabriela Ybarra,España,1984-04-27,carsonwilliam@email.com,Español
27,Gauz,Costa de Marfil,1967-03-23,wharper@email.com,Francés
28,Geetanjali Shree,India,1986-06-17,gregorymorris@email.com,Hindi
29,Georgi Gospodinov,Bulgaria,1969-09-24,wduncan@email.com,Búlgaro
30,Guadalupe Nettel,México,1993-11-23,hunterdeborah@email.com,Español
31,Han Kang,Corea del Sur,1985-08-14,christine84@email.com,Coreano
32,Hubert Mingarelli,Francia,1978-06-07,ireed@email.com,Francés
33,Hwang Sok-yong,Corea del Sur,1949-10-22,ashley25@email.com,Coreano
34,Jaap Robben,Países Bajos,1969-01-02,michael74@email.com,Neerlandés
35,Javier Cercas,España,1980-12-30,xdaugherty@email.com,Español
36,Jenny Erpenbeck,Alemania,1957-01-12,victoria08@email.com,Alemán
37,Jokha Alharthi,Omán,1969-01-09,dennis27@email.com,Árabe
38,Jon Fosse,Noruega,1959-09-10,bondana@email.com,Noruego
39,Jonas Eika,Dinamarca,1963-07-08,kayla54@email.com,Danés
40,Juan Gabriel Vásquez,Colombia,1969-02-04,kimberly24@email.com,Español
41,Judith Schalansky,Alemania,1980-02-08,summerscarl@email.com,Alemán
42,László Krasznahorkai,Hungría,1984-12-18,millerdavid@email.com,Húngaro
43,Laurent Binet,Francia,1985-08-08,powellkathleen@email.com,Francés
44,Laurent Mauvignier,Francia,1950-02-06,dshaffer@email.com,Francés
45,Maria Stepanova,Rusia,1964-02-01,justin38@email.com,Ruso
46,Mariana Enríquez,Argentina,1987-08-26,jason95@email.com,Español
47,Marieke Lucas Rijneveld,Países Bajos,1962-06-29,btorres@email.com,Neerlandés
48,Marion Poschmann,Alemania,1974-04-30,apaul@email.com,Alemán
49,Maryse Condé,Guadalupe,1982-03-19,christineroberson@email.com,Francés
50,Mazen Maarouf,Líbano / Islandia,1970-07-01,vramirez@email.com,Árabe
51,Michel Houellebecq,Francia,1989-05-21,wadejoshua@email.com,Francés
52,Mieko Kawakami,Japón,1966-11-26,george20@email.com,Japonés
53,Nana Ekvtimishvili,Georgia,1966-10-31,pmadden@email.com,Georgiano
54,Ngũgĩ wa Thiong'o,Kenia,1950-10-25,anthony38@email.com,Kikuyu / Inglés
55,Nino Haratischvili,Georgia / Alemania,1985-10-31,dwaynehartman@email.com,Georgiano / Alemán
56,Norman Erikson Pasaribu,Indonesia,1950-06-26,tskinner@email.com,Indonesio
57,Olga Ravn,Dinamarca,1975-06-05,ypratt@email.com,Danés
58,Olga Tokarczuk,Polonia,1976-04-08,tracy50@email.com,Polaco
59,Paulo Scott,Brasil,1971-04-16,martinezjennifer@email.com,Portugués
60,Perumal Murugan,India,1956-01-07,bryce69@email.com,Tamil
61,Samanta Schweblin,Argentina,1979-07-30,priscillacarlson@email.com,Español
62,Sang Young Park,Corea del Sur,1973-01-27,sarah02@email.com,Coreano
63,Sara Stridsberg,Suecia,1973-09-07,rebeccasullivan@email.com,Sueco
64,Shokoofeh Azar,Irán,1987-01-20,nglover@email.com,Persa
65,Tommy Wieringa,Países Bajos,1970-02-15,dhopkins@email.com,Neerlandés
66,Vigdis Hjorth,Noruega,1973-06-08,michaelnichols@email.com,Noruego
67,Violaine Huisman,Francia,1962-07-31,christophermeadows@email.com,Francés
68,Virginie Despentes,Francia,1977-01-31,jameskevin@email.com,Francés
69,Willem Anker,Sudáfrica,1984-09-21,raymondray@email.com,Afrikáans
70,Wu Ming-Yi,Taiwán,1970-06-07,christina61@email.com,Chino
71,Yōko Ogawa,Japón,1962-01-08,lisa47@email.com,Japonés
72,Zou Jingzhi,China,1977-10-20,jamesmonroe@email.com,Chino
