1;Eva Baltasar;Estados Unidos;24/06/1980;greenwilliam@yahoo.com;Inglés
2;Cheon Myeong-Kwan;España;26/11/1974;brandy38@gmail.com;Español
3;Maryse Condé;Francia;11/06/1973;montgomeryjohn@mcgrath.com;Francés
4;Gauz;Rusia;25/12/1960;thomas15@stewart-bowman.com;Ruso
5;Georgi Gospodinov;Noruega;12/11/1991;qgrimes@gmail.com;Noruego
6;Vigdis Hjorth;Suecia;8/08/1991;cortezraymond@garrett.com;Sueco
7;Andrey Kurkov;Estados Unidos;11/11/1970;leeashley@gmail.com;Inglés
8;Laurent Mauvignier;India;17/12/1963;millerluke@hotmail.com;Hindi
9;Clemens Meyer;Suecia;24/07/1987;andrea18@olsen-fernandez.org;Sueco
10;Perumal Murugan;Reino Unido;3/07/1991;zdavis@yahoo.com;Inglés
11;Guadalupe Nettel;Corea del Sur;3/11/1975;ivan20@zavala.com;Coreano
12;Amanda Svensson;Italia;10/06/1964;villanuevasandra@vega.net;Italiano
13;Zou Jingzhi;Noruega;16/04/1970;criley@keller-davies.com;Noruego
14;Fernanda Melchor;Alemania;14/11/1959;tuckercrystal@gmail.com;Alemán
15;Mieko Kawakami;India;20/10/1970;dave35@cook.com;Hindi
16;Sang Young Park;Alemania;22/03/1964;montoyacynthia@guzman.com;Alemán
17;Norman Erikson Pasaribu;Canadá;11/07/1995;hdavis@jacobs.com;Inglés
18;Claudia Piñeiro;Turquía;11/09/1962;jessicabrown@hotmail.com;Turco
19;Violaine Huisman;Rusia;25/10/1955;huffchad@gmail.com;Ruso
20;David Grossman;Australia;15/04/1998;ryan08@yahoo.com;Inglés
21;Paulo Scott;Turquía;10/12/1956;wgonzalez@harrison.com;Turco
22;Jon Fosse;Alemania;19/03/1958;matthewking@morse.biz;Alemán
23;Jonas Eika;India;28/12/1992;paul42@hotmail.com;Hindi
24;Geentanjali Shree;Canadá;10/02/1955;rogersbrandon@yahoo.com;Inglés
25;Olga Tokarczuk;Japón;10/06/1963;sbell@howard.org;Japonés
