idautor,nomautor ,paisautor,fecnacautor,emailautor,idiomaautor
A001,Eva Baltasar,Estados Unidos,1980-06-24,greenwilliam@yahoo.com,Inglés
A002,Cheon Myeong-Kwan,España,1974-11-26,brandy38@gmail.com,Español
A003,Maryse Condé,Francia,1973-06-11,montgomeryjohn@mcgrath.com,Francés
A004,Gauz,Rusia,1960-12-25,thomas15@stewart-bowman.com,Ruso
A005,Georgi Gospodinov,Noruega,1991-11-12,qgrimes@gmail.com,Noruego
A006,Vigdis Hjorth,Suecia,1991-08-08,cortezraymond@garrett.com,Sueco
A007,Andrey Kurkov,Estados Unidos,1970-11-11,leeashley@gmail.com,Inglés
A008,Laurent Mauvignier,India,1963-12-17,millerluke@hotmail.com,Hindi
A009,Clemens Meyer,Suecia,1987-07-24,andrea18@olsen-fernandez.org,Sueco
A010,Perumal Murugan,Reino Unido,1991-07-03,zdavis@yahoo.com,Inglés
A011,Guadalupe Nettel,Corea del Sur,1975-11-03,ivan20@zavala.com,Coreano
A012,Amanda Svensson,Italia,1964-06-10,villanuevasandra@vega.net,Italiano
A013,Zou Jingzhi,Noruega,1970-04-16,criley@keller-davies.com,Noruego
A014,Fernanda Melchor,Alemania,1959-11-14,tuckercrystal@gmail.com,Alemán
A015,Mieko Kawakami,India,1970-10-20,dave35@cook.com,Hindi
A016,Sang Young Park,Alemania,1964-03-22,montoyacynthia@guzman.com,Alemán
A017,Norman Erikson Pasaribu,Canadá,1995-07-11,hdavis@jacobs.com,Inglés
A018,Claudia Piñeiro,Turquía,1962-09-11,jessicabrown@hotmail.com,Turco
A019,Violaine Huisman,Rusia,1955-10-25,huffchad@gmail.com,Ruso
A020,David Grossman,Australia,1998-04-15,ryan08@yahoo.com,Inglés
A021,Paulo Scott,Turquía,1956-12-10,wgonzalez@harrison.com,Turco
A022,Jon Fosse,Alemania,1958-03-19,matthewking@morse.biz,Alemán
A023,Jonas Eika,India,1992-12-28,paul42@hotmail.com,Hindi
A024,Geentanjali Shree,Canadá,1955-02-10,rogersbrandon@yahoo.com,Inglés
A025,Olga Tokarczuk,Japón,1963-06-10,sbell@howard.org,Japonés
A026,Bora Chung,Argentina,1963-04-09,pgoodman@gmail.com,Español
A027,Éric Vuillard,Suecia,1954-05-14,ernest37@page-nunez.biz,Sueco
A028,Benajamín Labatut,Australia,1956-05-30,tbarton@gmail.com,Inglés
A029,Andrzej Tichy,Canadá,1965-07-15,greeneric@hotmail.com,Inglés
A030,Judith Schalansky,Reino Unido,1987-06-04,simpsonlarry@williams-carson.biz,Inglés
A031,David Diop,España,1967-01-21,valeriemorales@butler.com,Español
A032,Can Xue,Argentina,2000-04-01,davidbanks@ramirez-good.com,Español
A033,Maria Stepanova,Turquía,1986-08-18,johnsonrobin@gmail.com,Turco
A034,Adania Shibli,Italia,1971-09-20,darin24@williams.com,Italiano
A035,Jaap Robben,Australia,1992-04-05,sheena09@hotmail.com,Inglés
A036,Mariana Enríquez,Suecia,1987-11-30,iwatson@gmail.com,Sueco
A037,Olga Ravn,Egipto,1968-05-28,alan24@yahoo.com,Árabe
A038,Nana Ekvtimishvili,Noruega,1977-03-25,morganchristine@gmail.com,Noruego
A039,Ng?g? wa Thiong'o,Rusia,1972-08-11,tinaroberts@hays-anderson.com,Ruso
A040,Gabriela Cabezón Cámara,Francia,1986-10-18,parkermelody@jones.biz,Francés
A041,Marieke Lucas Rijneveld,Australia,1961-08-28,zwells@martinez-wilson.info,Inglés
A042,Nino Haratischvili,México,1983-04-16,matthew22@cunningham.com,Español
A043,Shokoofeh Azar,Japón,1958-09-29,karabrown@garcia.net,Japonés
A044,Y?ko Ogawa,Estados Unidos,1973-12-26,tkramer@hotmail.com,Inglés
A045,Daniel Kehlmann,México,1969-01-17,richardsonvanessa@yahoo.com,Español
A046,Emmanuelle Pagano,Turquía,1994-02-01,hlee@short.com,Turco
A047,Samanta Schweblin,Suecia,1990-01-17,davidsanders@gmail.com,Sueco
A048,Enrique Vila-Matas,Argentina,1997-11-19,cindygarcia@gray-payne.com,Español
A049,Willem Anker,China,1961-05-23,annelittle@yahoo.com,Chino
A050,Michel Houellebecq,Argentina,1989-09-25,martha73@hotmail.com,Español
A051,Hwang Sok-yong,Japón,1995-10-04,petersonsydney@meyers-johnson.com,Japonés
A052,Jokha Alharthi,Italia,1971-09-29,taguilar@roman.com,Italiano
A053,Hubert Mingarelli,Corea del Sur,1958-10-12,billysmith@rivera-martin.com,Coreano
A054,Mazen Maarouf,China,1998-11-29,william88@gmail.com,Chino
A055,Tommy Wieringa,China,1993-04-25,burgessrebecca@roberts.biz,Chino
A056,Sara Stridsberg,Alemania,1987-01-29,melissayates@hotmail.com,Alemán
A057,Marion Poschmann,Australia,1954-04-12,william45@snyder.com,Inglés
A058,Alia Trabucco Zerán,Egipto,1982-01-12,pbrown@gmail.com,Árabe
